Query1.txt
Nutr_Val
30.28

Query2.txt
TEMP.Long_Desc
Fish oil, cod liver

Query3.txt
Nutr.No|Nutrient|Count
01007|Cheese, camembert|57.0262777777778
01008|Cheese, caraway|81.2750694444445
01009|Cheese, cheddar|52.3262338709678
01010|Cheese, cheshire|79.5332638888889
01011|Cheese, colby|65.9382222222222
01017|Cheese, cream|34.0453014705883
01018|Cheese, edam|64.9616
01019|Cheese, feta|47.4548222222222
01020|Cheese, fontina|62.6455111111111
01021|Cheese, gjetost|110.708373134328
01022|Cheese, gouda|59.8174444444444
01023|Cheese, gruyere|72.2858222222222
01024|Cheese, limburger|65.3262666666667
01025|Cheese, monterey|60.6282555555556
01026|Cheese, mozzarella, whole milk|46.8364742268041
01027|Cheese, mozzarella, whole milk, low moisture|55.3380666666667
01028|Cheese, mozzarella, part skim milk|48.4318888888888
01029|Cheese, mozzarella, low moisture, part-skim|42.900328
01030|Cheese, muenster|65.3155333333333
01031|Cheese, neufchatel|35.9220388349515
01032|Cheese, parmesan, grated|56.4350074074074
01033|Cheese, parmesan, hard|78.0062777777778
01034|Cheese, port de salut|63.2476777777778
01035|Cheese, provolone|65.1860888888888
01038|Cheese, romano|71.4249444444444
01039|Cheese, roquefort|103.957850746269
01040|Cheese, swiss|43.1486544117647
01041|Cheese, tilsit|76.7821756756757
01042|Cheese, pasteurized process, American, fortified with vitamin D|59.5648134328358
01043|Cheese, pasteurized process, pimento|71.8915888888889
01044|Cheese, pasteurized process, swiss|71.4828555555555
01045|Cheese food, cold pack, American|76.0893692307692
01046|Cheese food, pasteurized process, American, vitamin D fortified|45.0916544117647
01047|Cheese food, pasteurized process, swiss|88.95325
01048|Cheese spread, pasteurized process, American|68.5138901098901
01052|Cream, fluid, light whipping|41.1422087912088
01053|Cream, fluid, heavy whipping|35.6666865671642
01054|Cream, whipped, cream topping, pressurized|33.7304945054945
01061|Cheese, American, nonfat or fat free|58.8204714285714
01070|Dessert topping, powdered|40.2205934065934
01090|Milk, dry, whole, with added vitamin D|95.2010555555556
01091|Milk, dry, nonfat, regular, without added vitamin A and vitamin D|73.7847525773196
01092|Milk, dry, nonfat, instant, with added vitamin A and vitamin D|125.1611
01093|Milk, dry, nonfat, calcium reduced|95.5013676470588
01094|Milk, buttermilk, dried|80.1067333333333
01095|Milk, canned, condensed, sweetened|39.0508111111111
01113|Whey, acid, dried|104.177887640449
01115|Whey, sweet, dried|83.5962808988764
01125|Egg, yolk, raw, fresh|77.5553423423423
01126|Egg, yolk, raw, frozen, pasteurized|69.7357948717949
01127|Egg, yolk, raw, frozen, sugared, pasteurized|68.6697727272728
01128|Egg, whole, cooked, fried|38.6576666666666
01129|Egg, whole, cooked, hard-boiled|38.494
01133|Egg, whole, dried|98.3554957264957
01134|Egg, whole, dried, stabilized, glucose reduced|171.541134328358
01135|Egg, white, dried, flakes, stabilized, glucose reduced|54.2537865168539
01136|Egg, white, dried, powder, stabilized, glucose reduced|58.043404494382
01137|Egg, yolk, dried|130.69105982906
01138|Egg, duck, whole, fresh, raw|53.5900555555556
01139|Egg, goose, whole, fresh, raw|52.0238444444445
01140|Egg, quail, whole, fresh, raw|46.4378888888889
01141|Egg, turkey, whole, fresh, raw|54.8050447761194
01144|Egg substitute, powder|113.153816901408
01145|Butter, without salt|75.2433063063063
01146|Cheese, parmesan, shredded|85.9817444444444
01153|Milk, canned, evaporated, with added vitamin A|33.0189696969697
01154|Milk, dry, nonfat, regular, with added vitamin A and vitamin D|123.001333333333
01155|Milk, dry, nonfat, instant, without added vitamin A and vitamin D|78.2389111111111
01156|Cheese, goat, hard type|85.1922444444445
01157|Cheese, goat, semisoft type|64.6918555555555
01159|Cheese, goat, soft type|46.7458444444444
01160|Egg, yolk, raw, frozen, salted, pasteurized|93.8093909090909
01161|Cheese substitute, mozzarella|69.8856629213483
01164|Cheese sauce, prepared from recipe|31.8191382978724
01165|Cheese, mexican, queso anejo|55.6450666666667
01166|Cheese, mexican, queso asadero|49.3217777777778
01167|Cheese, mexican, queso chihuahua|48.7883666666667
01168|Cheese, low fat, cheddar or colby|36.7921318681319
01169|Cheese, low-sodium, cheddar or colby|59.9034835164835
01171|Egg, whole, raw, frozen, pasteurized|33.1233846153846
01173|Egg, white, dried|56.458
01178|Sour cream, reduced fat|34.09
01182|USDA Commodity, cheese, cheddar, reduced fat|73.2402142857143
01185|Parmesan cheese topping, fat free|82.9785942028986
01188|KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce|266.0035
01189|KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product|262.9475
01190|KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product|311.4065
01191|KRAFT VELVEETA Pasteurized Process Cheese Spread|302.2985
01192|KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product|291.144
01193|KRAFT BREAKSTONE'S Reduced Fat Sour Cream|141.458888888889
01194|KRAFT BREAKSTONE'S FREE Fat Free Sour Cream|100.958333333333
01204|Cheese, parmesan, dry grated, reduced fat|69.2316666666667
01206|Cream substitute, flavored, powdered|33.263064516129
01208|Cheese, provolone, reduced fat|51.1479222222222
01209|Cheese, Mexican, blend, reduced fat|76.3743571428572
01210|Egg Mix, USDA Commodity|75.4020776699029
01212|Milk, dry, whole, without added vitamin D|90.5132777777778
01215|Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D|88.6277142857143
01223|Protein supplement, milk based, Muscle Milk, powder|144.333816901408
01224|Protein supplement, milk based, Muscle Milk Light, powder|177.814098591549
01227|Cheese, dry white, queso seco|61.7681346153846
01228|Cheese, fresh, queso fresco|44.3895478260869
01229|Cheese, white, queso blanco|46.3204615384615
01236|Ice cream, soft serve, chocolate|35.0173666666667
01237|Ice cream, bar or stick, chocolate covered|39.7778904109589
01238|Ice cream sandwich|35.7531830985916
01240|Ice cream cone, chocolate covered, with nuts, flavors other than chocolate|34.1865529411765
01242|Ice cream sandwich, vanilla, light, no sugar added|33.1200144927536
01244|Milk dessert bar, frozen, made from lowfat milk|34.789884057971
01250|Nutritional supplement for people with diabetes, liquid|32.36625
01251|Cheese, Mexican blend|47.9253168316832
01252|Cheese product, pasteurized process, American, vitamin D fortified|70.2168275862069
01253|Cheese, pasteurized process, American, without added vitamin D|55.6089172932331
01254|Cheese food, pasteurized process, American, without added vitamin D|47.6340510948905
01255|Egg, whole, raw, frozen, salted, pasteurized|64.5341181818182
01258|Egg, white, dried, stabilized, glucose reduced|40.8514568965517
01259|Cheese spread, American or Cheddar cheese base, reduced fat|50.72946
01260|Cheese, cheddar, reduced fat|42.469592920354
01264|Ice cream bar, stick or nugget, with crunch coating|31.967037037037
01265|Cheese, cheddar, nonfat or fat free|54.1891428571429
01266|Cheese, Swiss, nonfat or fat free|54.9612608695652
01267|Cheese, mexican, queso cotija|96.0976714285714
01270|Cheese, cheddar, sharp, sliced|45.7028134328358
01271|Cheese, mozzarella, low moisture, part-skim, shredded|40.0997407407407
01300|Ice cream bar, covered with chocolate and nuts|43.0842428571429
02001|Spices, allspice, ground|70.7770491803279
02002|Spices, anise seed|83.9277166666666
02003|Spices, basil, dried|105.686870967742
02004|Spices, bay leaf|181.472206896552
02005|Spices, caraway seed|68.1804157303371
02006|Spices, cardamom|88.1736046511627
02007|Spices, celery seed|91.8786081081082
02008|Spices, chervil, dried|253.150266666667
02009|Spices, chili powder|481.787177419355
02010|Spices, cinnamon, ground|31.7775725806452
02011|Spices, cloves, ground|37.7841417322835
02012|Spices, coriander leaf, dried|335.158014084507
02013|Spices, coriander seed|106.680325581395
02014|Spices, cumin seed|121.32561971831
02015|Spices, curry powder|39.983294117647
02016|Spices, dill seed|76.1927971014492
02017|Spices, dill weed, dried|450.792677419355
02018|Spices, fennel seed|112.654925925926
02019|Spices, fenugreek seed|68.1792181818182
02020|Spices, garlic powder|31.7274435483871
02021|Spices, ginger, ground|32.7900725806452
02022|Spices, mace, ground|81.48345
02023|Spices, marjoram, dried|315.969708333333
02024|Spices, mustard seed, ground|55.2967768595041
02025|Spices, nutmeg, ground|58.9890405405406
02026|Spices, onion powder|34.080237704918
02027|Spices, oregano, dried|93.6361833333333
02028|Spices, paprika|878.078725806452
02029|Spices, parsley, dried|110.954848484848
02030|Spices, pepper, black|42.858328
02031|Spices, pepper, red or cayenne|1268.52001408451
02032|Spices, pepper, white|59.889525
02033|Spices, poppy seed|54.0927222222222
02034|Spices, poultry seasoning|148.652194444444
02035|Spices, pumpkin pie spice|62.343676056338
02036|Spices, rosemary, dried|137.941109375
02037|Spices, saffron|86.4164000000001
02038|Spices, sage, ground|276.691549295775
02039|Spices, savory, ground|337.84196875
02041|Spices, tarragon, dried|196.009704918033
02042|Spices, thyme, dried|203.764666666667
02043|Spices, turmeric, ground|38.7892682926829
02044|Basil, fresh|150.972704761905
02045|Dill weed, fresh|157.939109375
02047|Salt, table|422.757173913043
02049|Thyme, fresh|186.854481481482
02051|Vanilla extract, imitation, alcohol|40.5326944444444
02054|Capers, canned|42.1994109589041
02063|Rosemary, fresh|81.2981343283582
02064|Peppermint, fresh|98.885984375
02065|Spearmint, fresh|90.0
02066|Spearmint, dried|299.41559375
02073|PACE, Dry Taco Seasoning Mix|1163.206875
02074|Seasoning mix, dry, sazon, coriander & annatto|1005.88235294118
02075|Seasoning mix, dry, taco, original|687.3165
02076|Seasoning mix, dry, chili, original|516.989777777778
03000|Clif Z bar|34.0069491525424
03019|Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars|33.3488426966292
03022|Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic|35.0472222222222
03042|Babyfood, dinner, vegetables and dumplings and beef, junior|38.02334375
03043|Babyfood, dinner, beef lasagna, toddler|40.5787959183673
03046|Babyfood, ravioli, cheese filled, with tomato sauce|53.799884057971
03050|Babyfood, dinner, spaghetti and tomato and meat, junior|51.9693717948718
03051|Babyfood, dinner, spaghetti and tomato and meat, toddler|33.4772340425532
03052|Babyfood, dinner, beef stew, toddler|70.9377386363636
03053|Babyfood, dinner, vegetables and beef, strained|82.7902479338843
03054|Babyfood, dinner, vegetables and beef, junior|82.9762396694215
03055|Babyfood, dinner, beef with vegetables|115.619144736842
03059|Babyfood, dinner, vegetables and bacon, strained|64.7045714285715
03061|Babyfood, dinner, vegetables and ham, strained|84.0020909090909
03062|Babyfood, dinner, vegetables and ham, junior|83.9411688311689
03066|Babyfood, dinner, vegetables and lamb, strained|60.5858571428572
03068|Babyfood, dinner, chicken noodle, strained|60.7528441558442
03069|Babyfood, dinner, chicken noodle, junior|47.8121153846154
03070|Babyfood, dinner, chicken soup, strained|43.3242142857143
03072|Babyfood, dinner, chicken stew, toddler|31.9702159090909
03073|Babyfood, dinner, vegetables chicken, strained|105.066623376623
03075|Babyfood, dinner, vegetables, noodles and chicken, strained|64.82603125
03076|Babyfood, dinner, vegetables, noodles and chicken, junior|53.34184375
03077|Babyfood, dinner, pasta with vegetables|31.9131267605634
03079|Babyfood, dinner, vegetables and noodles and turkey, strained|47.803
03081|Babyfood, dinner, vegetables and noodles and turkey, junior|49.656375
03082|Babyfood, dinner, turkey and rice, strained|45.1274805194805
03083|Babyfood, dinner, turkey and rice, junior|66.8808846153846
03084|Babyfood, dinner, vegetables and turkey, strained|109.619285714286
03085|Babyfood, dinner, vegetables and turkey, junior|108.090551282051
03099|Babyfood, vegetables, carrots, strained|234.194393258427
03100|Babyfood, vegetables, carrots, junior|244.112528089888
03104|Babyfood, vegetables, squash, strained|68.6780882352941
03105|Babyfood, vegetables, squash, junior|68.4824019607843
03108|Babyfood, vegetables, sweet potatoes strained|128.325269662921
03109|Babyfood, vegetables, sweet potatoes, junior|132.010292134831
03114|Babyfood, vegetable, butternut squash and corn|89.2058133333333
03122|Babyfood, peas, dices, toddler|43.7852777777778
03127|Babyfood, vegetables, spinach, creamed, strained|144.070574712644
03154|Babyfood, fruit and vegetable, apple and sweet potato|54.1303866666667
03181|Babyfood, cereal, barley, dry fortified|61.0532571428571
03184|Babyfood, cereal, whole wheat, with apples, dry fortified|64.0855915492958
03185|Babyfood, cereal, mixed, dry fortified|45.4460322580645
03186|Babyfood, cereal, mixed, with bananas, dry|44.9916500000001
03189|Babyfood, cereal, oatmeal, dry fortified|52.0232666666667
03190|Babyfood, cereal, oatmeal, with bananas, dry|52.968632183908
03193|Babyfood, cereal, oatmeal, with honey, dry|158.215266666667
03194|Babyfood, cereal, rice, dry fortified|37.3975461538462
03205|Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified|53.2591428571429
03206|Babyfood, cookie, baby, fruit|113.172957746479
03209|Babyfood, crackers, vegetable|127.683780487805
03211|Babyfood, cereal, high protein, with apple and orange, dry|105.231277777778
03212|Babyfood, cereal, rice, with bananas, dry|51.6232988505747
03213|Babyfood, cookies|51.9111948051948
03214|Babyfood, cookies, arrowroot|51.1687868852459
03215|Babyfood, pretzels|44.2880563380282
03216|Babyfood, teething biscuits|50.774947368421
03217|Zwieback|37.8129450549451
03229|Babyfood, dessert, peach melba, strained|31.85916
03274|Babyfood, dinner, vegetables and chicken, junior|68.0458441558442
03278|Babyfood, dinner, mixed vegetable, strained|114.064466666667
03279|Babyfood, dinner, mixed vegetable, junior|182.015978021978
03282|Babyfood, vegetables, mix vegetables junior|96.1008863636365
03283|Babyfood, vegetables, garden vegetable, strained|141.676
03286|Babyfood, vegetables, mix vegetables strained|73.2918863636364
03287|Babyfood, dinner, beef noodle, junior|33.1084494382022
03290|Babyfood, carrots and beef, strained|376.392225352113
03296|Babyfood, dinner, turkey, rice, and vegetables, toddler|85.7774583333333
03302|Babyfood, snack, GERBER GRADUATE YOGURT MELTS|66.9510825688074
03303|Babyfood, dinner, sweet potatoes and chicken, strained|109.016876712329
03682|Babyfood, cereal, high protein, prepared with whole milk|39.9158863636364
03689|Babyfood, cereal, oatmeal, prepared with whole milk|31.67782
03693|Babyfood, cereal, oatmeal, with honey, prepared with whole milk|59.48448
03696|Babyfood, cereal, rice, with honey, prepared with whole milk|55.9001724137931
03704|Babyfood, cereal, mixed, with honey, prepared with whole milk|58.96216
03711|Babyfood, cereal, high protein, with apple and orange, prepared with whole milk|67.3490416666667
03802|Infant formula, NESTLE, GOOD START SUPREME, with iron, powder|106.834536231884
03805|Infant formula, MEAD JOHNSON, ENFAMIL, with iron, powder|111.436428571429
03808|Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, with iron, powder, with ARA and DHA|109.620728571429
03809|Infant formula, MEAD JOHNSON, ENFAMIL, low iron, powder, not reconstituted|109.552714285714
03814|Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, powder, not reconstituted|108.148628571429
03819|Child formula, MEAD JOHNSON, PORTAGEN, with iron, powder, not reconstituted|162.637623188406
03820|Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder|32.8440289855072
03821|Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, not reconstituted|124.21
03826|Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, with iron, powder, not reconstituted|112.188
03827|Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE LIPIL, with iron, powder, with ARA and DHA|111.495571428571
03837|Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted|99.3052602739726
03838|Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, powder, not reconstituted, with ARA and DHA|107.6432
03839|Infant formula, ABBOTT NUTRITION, SIMILAC, NATURAL CARE, ADVANCE, ready-to-feed, with ARA and DHA|38.485375
03840|Infant formula, ABBOTT NUTRITION, SIMILAC, SPECIAL CARE, ADVANCE 24, with iron, ready-to-feed, with ARA and DHA|37.5796527777778
03843|Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted|111.517830985916
03849|Infant formula, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, with iron, powder, with ARA and DHA|118.016214285714
03852|Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, with iron, powder, not reconstituted, with ARA and DHA|107.99125
03853|Infant formula, ABBOTT NUTRITION, SIMILAC, with iron, powder, not reconstituted|106.476777777778
03858|Infant formula, ABBOTT NUTRITION, SIMILAC, low iron, powder, not reconstituted|106.758055555556
03861|Infant formula, MEAD JOHNSON, NEXT STEP, PROSOBEE LIPIL, powder, with ARA and DHA|115.321071428571
03867|Infant formula, NESTLE, GOOD START SOY, with ARA and DHA, powder|111.797173913043
03869|Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE, with iron, powder, not reconstituted|111.777714285714
03913|Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, powder|102.574086956522
03928|Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, powder|111.79984057971
03929|Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted|113.80485915493
03934|Babyfood, corn and sweet potatoes, strained|53.03796875
03938|Infant formula, PBM PRODUCTS, store brand, powder|105.677231884058
03941|Infant formula, PBM PRODUCTS, store brand, soy, powder|108.82215942029
03943|Infant formula, MEAD JOHNSON, ENFAMIL, AR LIPIL, powder, with ARA and DHA|110.106420289855
03945|Infant formula, ABBOTT NUTRITION, SIMILAC, NEOSURE, powder, with ARA and DHA|135.321347222222
03948|Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA|109.362971830986
03950|Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted|106.494597222222
03954|Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted|111.507732394366
03957|Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA|111.914671428571
03964|Babyfood, fortified cereal bar, fruit filling|47.6025978260869
03967|Toddler formula, MEAD JOHNSON, ENFAGROW, PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), powder|114.058428571429
03980|Infant Formula, MEAD JOHNSON, ENFAMIL, GENTLEASE, powder|108.214394366197
03984|Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 20 calories ready-to-feed|33.2121971830986
03985|Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 24 calo ready-to-feed|33.1490985915493
03996|Babyfood, Multigrain whole grain cereal, dry fortified|59.3047222222222
03998|Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack|71.8048674698795
03999|Infant formula, ABBOTT NUTRITION, SIMILAC, For Spit Up, powder, with ARA and DHA|107.579901408451
04001|Fat, beef tallow|57.6144444444444
04002|Lard|53.2562244897959
04011|Salad dressing, KRAFT Mayo Light Mayonnaise|156.021052631579
04014|Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing|81.8288888888889
04015|Salad dressing, russian dressing|113.419069444444
04016|Salad dressing, sesame seed dressing, regular|43.7677613636363
04017|Salad dressing, thousand island, commercial, regular|62.0339611650485
04020|Salad dressing, french dressing, reduced fat|65.5933888888889
04023|Salad dressing, thousand island dressing, reduced fat|60.5640882352941
04025|Salad dressing, mayonnaise, regular|38.0103925925926
04026|Salad dressing, mayonnaise, soybean and safflower oil, with salt|66.8414819277108
04029|Salad dressing, mayonnaise, imitation, soybean without cholesterol|37.3463033707865
04030|Sandwich spread, with chopped pickle, regular, unspecified oils|44.4814269662921
04031|Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)|56.2144565217391
04034|Oil, soybean, salad or cooking, (partially hydrogenated)|55.9866666666667
04037|Oil, rice bran|73.7056626506024
04038|Oil, wheat germ|63.1426966292135
04042|Oil, peanut, salad or cooking|53.2757291666667
04044|Oil, soybean, salad or cooking|46.0715333333333
04047|Oil, coconut|39.0777578125
04053|Oil, olive, salad or cooking|51.2775544554456
04055|Oil, palm|55.0342696629214
04058|Oil, sesame, salad or cooking|64.6494382022472
04060|Oil, sunflower, linoleic (less than 60%)|59.0530588235294
04073|Margarine, regular, hard, soybean (hydrogenated)|135.163703703704
04120|Salad dressing, french dressing, commercial, regular|47.0286310679612
04128|Margarine-like, vegetable oil spread, unspecified oils, approximately 37% fat, with salt|76.4853888888889
04133|Salad dressing, french, home recipe|68.3633333333333
04141|Salad dressing, french dressing, commercial, regular, without salt|50.709253164557
04142|Salad dressing, french dressing, reduced fat, without salt|70.6866575342466
04145|Salad dressing, mayonnaise, soybean oil, without salt|152.356666666667
04146|Salad dressing, french, cottonseed, oil, home recipe|177.472173913043
04501|Oil, cocoa butter|57.9636363636364
04502|Oil, cottonseed, salad or cooking|59.0808988764045
04506|Oil, sunflower, linoleic, (approx. 65%)|56.4132584269663
04510|Oil, safflower, salad or cooking, linoleic, (over 70%)|62.3088604651163
04511|Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)|55.0253333333333
04513|Vegetable oil, palm kernel|54.2412222222222
04514|Oil, poppyseed|62.9463414634146
04515|Oil, tomatoseed|60.7012195121951
04516|Oil, teaseed|60.6792682926829
04517|Oil, grapeseed|61.9841463414634
04518|Oil, corn, industrial and retail, all purpose salad or cooking|58.048294117647
04520|Fat, mutton tallow|57.5377777777778
04528|Oil, walnut|56.2777777777778
04529|Oil, almond|58.2775280898876
04530|Oil, apricot kernel|63.5086419753086
04531|Oil, soybean lecithin|66.7560563380282
04532|Oil, hazelnut|61.4780487804878
04534|Oil, babassu|60.7987804878049
04536|Oil, sheanut|63.7756097560976
04539|Salad dressing, blue or roquefort cheese dressing, commercial, regular|51.1284605263158
04541|Oil, cupu assu|61.2345679012346
04542|Fat, chicken|59.6177777777778
04543|Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed|56.8898876404494
04544|Shortening, household, lard and vegetable oil|56.9988764044944
04545|Oil, sunflower, linoleic, (partially hydrogenated)|52.581914893617
04546|Shortening bread, soybean (hydrogenated) and cottonseed|64.3092405063291
04548|Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)|56.2133695652174
04549|Shortening industrial, lard and vegetable oil|68.8479452054794
04550|Shortening frying (heavy duty), beef tallow and cottonseed|69.6767123287671
04551|Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)|56.2174157303371
04554|Shortening industrial, soybean (hydrogenated) and cottonseed|56.2085869565217
04556|Shortening frying (heavy duty), palm (hydrogenated)|67.7013698630137
04559|Shortening household soybean (hydrogenated) and palm|67.837027027027
04560|Shortening frying (heavy duty), soybean (hydrogenated), linoleic (less than 1%)|58.54125
04570|Shortening, confectionery, fractionated palm|67.6794520547945
04572|Oil, nutmeg butter|59.4243902439025
04573|Oil, ucuhuba butter|60.5878048780488
04574|Fat, duck|58.7755555555555
04575|Fat, turkey|59.8111111111111
04576|Fat, goose|69.3054794520548
04581|Oil, avocado|118.882951219512
04582|Oil, canola|56.3292254901961
04583|Oil, mustard|110.492613636364
04584|Oil, sunflower, high oleic (70% and over)|67.4571506849315
04585|Margarine-like, margarine-butter blend, soybean oil and butter|109.73494949495
04586|Shortening, special purpose for cakes and frostings, soybean (hydrogenated)|87.1811228070176
04587|Shortening, special purpose for baking, soybean (hydrogenated) palm and cottonseed|85.7143103448276
04588|Oil, oat|86.1757894736842
04589|Fish oil, cod liver|3446.55117647059
04590|Fish oil, herring|112.289450980392
